targetId,comparatorId,outcomeIds,excludedCovariateConceptIds,targetName,comparatorName
4110000,4210000,-1,NA,chlorpropamide,glimepiride
4110000,4310000,-1,NA,chlorpropamide,glipizide
4110000,4410000,-1,NA,chlorpropamide,gliquidone
4110000,4510000,-1,NA,chlorpropamide,glyburide
4110000,4610000,-1,NA,chlorpropamide,tolazamide
4110000,4710000,-1,NA,chlorpropamide,tolbutamide
4210000,4310000,-1,NA,glimepiride,glipizide
4210000,4410000,-1,NA,glimepiride,gliquidone
4210000,4510000,-1,NA,glimepiride,glyburide
4210000,4610000,-1,NA,glimepiride,tolazamide
4210000,4710000,-1,NA,glimepiride,tolbutamide
4310000,4410000,-1,NA,glipizide,gliquidone
4310000,4510000,-1,NA,glipizide,glyburide
4310000,4610000,-1,NA,glipizide,tolazamide
4310000,4710000,-1,NA,glipizide,tolbutamide
4410000,4510000,-1,NA,gliquidone,glyburide
4410000,4610000,-1,NA,gliquidone,tolazamide
4410000,4710000,-1,NA,gliquidone,tolbutamide
4510000,4610000,-1,NA,glyburide,tolazamide
4510000,4710000,-1,NA,glyburide,tolbutamide
4610000,4710000,-1,NA,tolazamide,tolbutamide
4110100,4210100,-1,NA,chlorpropamide,glimepiride
4110100,4310100,-1,NA,chlorpropamide,glipizide
4110100,4410100,-1,NA,chlorpropamide,gliquidone
4110100,4510100,-1,NA,chlorpropamide,glyburide
4110100,4610100,-1,NA,chlorpropamide,tolazamide
4110100,4710100,-1,NA,chlorpropamide,tolbutamide
4210100,4310100,-1,NA,glimepiride,glipizide
4210100,4410100,-1,NA,glimepiride,gliquidone
4210100,4510100,-1,NA,glimepiride,glyburide
4210100,4610100,-1,NA,glimepiride,tolazamide
4210100,4710100,-1,NA,glimepiride,tolbutamide
4310100,4410100,-1,NA,glipizide,gliquidone
4310100,4510100,-1,NA,glipizide,glyburide
4310100,4610100,-1,NA,glipizide,tolazamide
4310100,4710100,-1,NA,glipizide,tolbutamide
4410100,4510100,-1,NA,gliquidone,glyburide
4410100,4610100,-1,NA,gliquidone,tolazamide
4410100,4710100,-1,NA,gliquidone,tolbutamide
4510100,4610100,-1,NA,glyburide,tolazamide
4510100,4710100,-1,NA,glyburide,tolbutamide
4610100,4710100,-1,NA,tolazamide,tolbutamide
4110300,4210300,-1,NA,chlorpropamide,glimepiride
4110300,4310300,-1,NA,chlorpropamide,glipizide
4110300,4410300,-1,NA,chlorpropamide,gliquidone
4110300,4510300,-1,NA,chlorpropamide,glyburide
4110300,4610300,-1,NA,chlorpropamide,tolazamide
4110300,4710300,-1,NA,chlorpropamide,tolbutamide
4210300,4310300,-1,NA,glimepiride,glipizide
4210300,4410300,-1,NA,glimepiride,gliquidone
4210300,4510300,-1,NA,glimepiride,glyburide
4210300,4610300,-1,NA,glimepiride,tolazamide
4210300,4710300,-1,NA,glimepiride,tolbutamide
4310300,4410300,-1,NA,glipizide,gliquidone
4310300,4510300,-1,NA,glipizide,glyburide
4310300,4610300,-1,NA,glipizide,tolazamide
4310300,4710300,-1,NA,glipizide,tolbutamide
4410300,4510300,-1,NA,gliquidone,glyburide
4410300,4610300,-1,NA,gliquidone,tolazamide
4410300,4710300,-1,NA,gliquidone,tolbutamide
4510300,4610300,-1,NA,glyburide,tolazamide
4510300,4710300,-1,NA,glyburide,tolbutamide
4610300,4710300,-1,NA,tolazamide,tolbutamide
4110010,4210010,-1,NA,chlorpropamide,glimepiride
4110010,4310010,-1,NA,chlorpropamide,glipizide
4110010,4410010,-1,NA,chlorpropamide,gliquidone
4110010,4510010,-1,NA,chlorpropamide,glyburide
4110010,4610010,-1,NA,chlorpropamide,tolazamide
4110010,4710010,-1,NA,chlorpropamide,tolbutamide
4210010,4310010,-1,NA,glimepiride,glipizide
4210010,4410010,-1,NA,glimepiride,gliquidone
4210010,4510010,-1,NA,glimepiride,glyburide
4210010,4610010,-1,NA,glimepiride,tolazamide
4210010,4710010,-1,NA,glimepiride,tolbutamide
4310010,4410010,-1,NA,glipizide,gliquidone
4310010,4510010,-1,NA,glipizide,glyburide
4310010,4610010,-1,NA,glipizide,tolazamide
4310010,4710010,-1,NA,glipizide,tolbutamide
4410010,4510010,-1,NA,gliquidone,glyburide
4410010,4610010,-1,NA,gliquidone,tolazamide
4410010,4710010,-1,NA,gliquidone,tolbutamide
4510010,4610010,-1,NA,glyburide,tolazamide
4510010,4710010,-1,NA,glyburide,tolbutamide
4610010,4710010,-1,NA,tolazamide,tolbutamide
4110030,4210030,-1,NA,chlorpropamide,glimepiride
4110030,4310030,-1,NA,chlorpropamide,glipizide
4110030,4410030,-1,NA,chlorpropamide,gliquidone
4110030,4510030,-1,NA,chlorpropamide,glyburide
4110030,4610030,-1,NA,chlorpropamide,tolazamide
4110030,4710030,-1,NA,chlorpropamide,tolbutamide
4210030,4310030,-1,NA,glimepiride,glipizide
4210030,4410030,-1,NA,glimepiride,gliquidone
4210030,4510030,-1,NA,glimepiride,glyburide
4210030,4610030,-1,NA,glimepiride,tolazamide
4210030,4710030,-1,NA,glimepiride,tolbutamide
4310030,4410030,-1,NA,glipizide,gliquidone
4310030,4510030,-1,NA,glipizide,glyburide
4310030,4610030,-1,NA,glipizide,tolazamide
4310030,4710030,-1,NA,glipizide,tolbutamide
4410030,4510030,-1,NA,gliquidone,glyburide
4410030,4610030,-1,NA,gliquidone,tolazamide
4410030,4710030,-1,NA,gliquidone,tolbutamide
4510030,4610030,-1,NA,glyburide,tolazamide
4510030,4710030,-1,NA,glyburide,tolbutamide
4610030,4710030,-1,NA,tolazamide,tolbutamide
4110002,4210002,-1,NA,chlorpropamide,glimepiride
4110002,4310002,-1,NA,chlorpropamide,glipizide
4110002,4410002,-1,NA,chlorpropamide,gliquidone
4110002,4510002,-1,NA,chlorpropamide,glyburide
4110002,4610002,-1,NA,chlorpropamide,tolazamide
4110002,4710002,-1,NA,chlorpropamide,tolbutamide
4210002,4310002,-1,NA,glimepiride,glipizide
4210002,4410002,-1,NA,glimepiride,gliquidone
4210002,4510002,-1,NA,glimepiride,glyburide
4210002,4610002,-1,NA,glimepiride,tolazamide
4210002,4710002,-1,NA,glimepiride,tolbutamide
4310002,4410002,-1,NA,glipizide,gliquidone
4310002,4510002,-1,NA,glipizide,glyburide
4310002,4610002,-1,NA,glipizide,tolazamide
4310002,4710002,-1,NA,glipizide,tolbutamide
4410002,4510002,-1,NA,gliquidone,glyburide
4410002,4610002,-1,NA,gliquidone,tolazamide
4410002,4710002,-1,NA,gliquidone,tolbutamide
4510002,4610002,-1,NA,glyburide,tolazamide
4510002,4710002,-1,NA,glyburide,tolbutamide
4610002,4710002,-1,NA,tolazamide,tolbutamide
4110001,4210001,-1,NA,chlorpropamide,glimepiride
4110001,4310001,-1,NA,chlorpropamide,glipizide
4110001,4410001,-1,NA,chlorpropamide,gliquidone
4110001,4510001,-1,NA,chlorpropamide,glyburide
4110001,4610001,-1,NA,chlorpropamide,tolazamide
4110001,4710001,-1,NA,chlorpropamide,tolbutamide
4210001,4310001,-1,NA,glimepiride,glipizide
4210001,4410001,-1,NA,glimepiride,gliquidone
4210001,4510001,-1,NA,glimepiride,glyburide
4210001,4610001,-1,NA,glimepiride,tolazamide
4210001,4710001,-1,NA,glimepiride,tolbutamide
4310001,4410001,-1,NA,glipizide,gliquidone
4310001,4510001,-1,NA,glipizide,glyburide
4310001,4610001,-1,NA,glipizide,tolazamide
4310001,4710001,-1,NA,glipizide,tolbutamide
4410001,4510001,-1,NA,gliquidone,glyburide
